---------- Begin Simulation Statistics ----------
simSeconds                                   0.003370                       # Number of seconds simulated (Second)
simTicks                                   3369719000                       # Number of ticks simulated (Tick)
finalTick                                  5715826000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    627.67                       # Real time elapsed on the host (Second)
hostTickRate                                  5368588                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   67284092                       # Number of bytes of host memory used (Byte)
simInsts                                     44627362                       # Number of instructions simulated (Count)
simOps                                       46731813                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71100                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      74452                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu_cluster.clk_domain.clock               250                       # Clock period in ticks (Tick)
system.cpu_cluster.cpus.numCycles            13478880                       # Number of cpu cycles simulated (Cycle)
system.cpu_cluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.cpu_cluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.cpu_cluster.cpus.instsAdded           33997630                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu_cluster.cpus.nonSpecInstsAdded         3153                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu_cluster.cpus.instsIssued          34005627                       # Number of instructions issued (Count)
system.cpu_cluster.cpus.NoReadyInst           2386310                       # No instructions ready in this cycle (Count)
system.cpu_cluster.cpus.ReadyInstMoreThanBW       191650                       # More ready instructions than available bandwidth (Count)
system.cpu_cluster.cpus.squashedInstsIssued         4465                       # Number of squashed instructions issued (Count)
system.cpu_cluster.cpus.squashedInstsExamined       116901                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu_cluster.cpus.squashedOperandsExamined       244686                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu_cluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu_cluster.cpus.fuBusyS                114271                       # FU busy when requested (Count)
system.cpu_cluster.cpus.fuBusyW              22503449                       # FU busy when requested (Count)
system.cpu_cluster.cpus.numIssuedDist::samples     13478880                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::mean     2.522882                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::stdev     1.937713                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::0      2386310     17.70%     17.70% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::1      2077144     15.41%     33.11% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::2      2811987     20.86%     53.98% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::3      2489427     18.47%     72.45% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::4      1566789     11.62%     84.07% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::5      1002656      7.44%     91.51% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::6       647827      4.81%     96.31% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::7       305090      2.26%     98.58% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::8       191650      1.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.numIssuedDist::total     13478880                       # Number of insts issued each cycle (Count)
system.cpu_cluster.cpus.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntAlu     12232349     54.08%     54.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntMult       487439      2.16%     56.24% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IntDiv            0      0.00%     56.24% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatAdd          549      0.00%     56.24% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCmp            0      0.00%     56.24% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatCvt      6295563     27.83%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMult            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMultAcc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatDiv            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMisc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatSqrt            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAdd            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAddAcc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAlu            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCmp            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdCvt            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMisc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMult            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     84.08% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     84.08% # attempts to use FU when none available (Count)
